id,text,audience,category,category_title,char_len,company,doc_type,entity,keywords,part_index,part_total,source_file,source_format,title
identity:brand:brand-identity,"Chikku Robotics brand identity.
Name: Chikku Robotics
Tagline: Intelligent Robots for a Smarter Future
Chikku Robotics is an AI and robotics company dedicated to building intelligent robots for a smarter future. We make advanced technology approachable and beneficial for society.",customer,brand,Brand,280,Chikku Robotics,identity,Chikku Robotics,brand | tagline | about | who are you,0,1,identity.json,json,Brand identity
identity:leadership:founder-chairman-surender-rangaraju,"Surender Rangaraju — Founder & chairman at Chikku Robotics.
Surender Rangaraju is the Founder & chairman of Chikku Robotics, leading the company's vision to build intelligent robots for a smarter future.",customer,leadership,Leadership,203,Chikku Robotics,identity,Surender Rangaraju,leadership | team | Founder & chairman | Surender Rangaraju | founder_chairman,0,1,identity.json,json,Founder & chairman: Surender Rangaraju
identity:leadership:director-mohan,"Mohan — Director at Chikku Robotics.
Mohan serves as Director at Chikku Robotics, helping drive the company's strategic growth and operational excellence.",customer,leadership,Leadership,154,Chikku Robotics,identity,Mohan,leadership | team | Director | Mohan | director,0,1,identity.json,json,Director: Mohan
identity:name_origin:origin-of-the-name-chikku,"Why the company is called Chikku.
Inspiration: Chikku fruit
My name is inspired by the Chikku fruit, which is loved for its natural sweetness. Just like the fruit, Chikku Robotics focuses on creating human-centered, friendly, and trustworthy robots that easily integrate into your daily life.",customer,name_origin,Name Origin,292,Chikku Robotics,identity,,name | origin | chikku fruit | why chikku,0,1,identity.json,json,Origin of the name Chikku
identity:bot_introduction:bot-self-introduction,"Hello, I am Chikku! I am an intelligent service robot representing Chikku Robotics.
Our company is dedicated to building Intelligent Robots for a Smarter Future. We want to make advanced technology approachable and beneficial for society.",customer,bot_introduction,Bot Introduction,238,Chikku Robotics,identity,,greeting | introduction | hello | who are you,0,1,identity.json,json,Bot self-introduction
company:profile:company-profile,"Company: Chikku Robotics
Tagline: Intelligent Robots for a Smarter Future
Headquarters: India
Global offices: Ho Chi Minh City, Vietnam | Tamil Nadu, India
Mission: To make advanced robotics and AI technology approachable, beneficial, and accessible to businesses and society worldwide.
Vision: A world where intelligent robots work alongside humans seamlessly — enhancing productivity, safety, and quality of life across every industry.",customer,profile,Profile,437,Chikku Robotics,company,Chikku Robotics,company | headquarters | offices | location | mission | vision,0,1,company_overview.json,json,Company profile
company:values:core-value-human-centered-design,"Chikku Robotics core value — Human-Centered Design.
Every robot we build is designed with people in mind — intuitive, safe, and trustworthy.",customer,values,Core Values,140,Chikku Robotics,company,Human-Centered Design,values | culture | Human-Centered Design,0,1,company_overview.json,json,Core value: Human-Centered Design
company:values:core-value-innovation-excellence,"Chikku Robotics core value — Innovation Excellence.
We push the boundaries of what is possible through continuous R&D and breakthrough technologies.",customer,values,Core Values,148,Chikku Robotics,company,Innovation Excellence,values | culture | Innovation Excellence,0,1,company_overview.json,json,Core value: Innovation Excellence
company:values:core-value-collaboration,"Chikku Robotics core value — Collaboration.
We partner with universities, governments, and industry leaders to accelerate the robotics revolution.",customer,values,Core Values,146,Chikku Robotics,company,Collaboration,values | culture | Collaboration,0,1,company_overview.json,json,Core value: Collaboration
company:values:core-value-sustainability,"Chikku Robotics core value — Sustainability.
Our robots are designed for energy efficiency and long-term environmental responsibility.",customer,values,Core Values,134,Chikku Robotics,company,Sustainability,values | culture | Sustainability,0,1,company_overview.json,json,Core value: Sustainability
company:values:core-value-trust-safety,"Chikku Robotics core value — Trust & Safety.
Safety is non-negotiable. All our robots meet international safety standards including ISO 13482 and ISO 10218.",customer,values,Core Values,156,Chikku Robotics,company,Trust & Safety,values | culture | Trust & Safety,0,1,company_overview.json,json,Core value: Trust & Safety
company:name_origin:name-origin-and-brand-story,"Inspiration: Chikku fruit (Manilkara zapota)
Pronunciation: Chik-koo
The Chikku fruit, also known as sapodilla, is beloved across Asia for its natural sweetness and nourishing qualities. Just like the fruit, our robots are designed to be naturally welcoming, trustworthy, and enriching — seamlessly integrating into human environments to make life better. The name reflects our philosophy: technology should be as approachable and delightful as biting into a sweet Chikku.
Brand colors — primary: Deep Blue (#1A237E), accent: Warm Orange (#FF6F00)",customer,name_origin,Name Origin,547,Chikku Robotics,company,,name origin | brand story | pronunciation | brand colors,0,1,company_overview.json,json,Name origin and brand story
partnership:technology_partners:technology-partners,"Technology Partners
Strategic technology partnerships that enhance our robot capabilities and expand our ecosystem.
Partners: NVIDIA | AWS (Amazon Web Services) | Qualcomm",customer,technology_partners,Technology Partners,171,Chikku Robotics,partnership,,partners | partnerships | overview,0,1,partnerships.json,json,Technology Partners
partnership:technology_partners:partner-nvidia,"NVIDIA — Edge AI Computing partner of Chikku Robotics.
NVIDIA provides the GPU computing platform (Jetson Orin) that powers our Chikku Core ECU and on-device AI inference. We are an NVIDIA Preferred Partner for robotics.
Collaboration: Co-development of optimized AI models for Jetson platform. Early access to next-generation edge AI hardware.",customer,technology_partners,Technology Partners,344,Chikku Robotics,partnership,NVIDIA,partner | partnership | NVIDIA | Edge AI Computing,0,1,partnerships.json,json,Partner: NVIDIA
partnership:technology_partners:partner-aws-amazon-web-services,"AWS (Amazon Web Services) — Cloud Infrastructure partner of Chikku Robotics.
AWS hosts our Chikku Cloud fleet management platform. Provides scalable compute, storage, and ML training infrastructure.
Collaboration: AWS Robotics Competency Partner. Joint go-to-market for manufacturing and logistics customers.",customer,technology_partners,Technology Partners,308,Chikku Robotics,partnership,AWS (Amazon Web Services),partner | partnership | AWS (Amazon Web Services) | Cloud Infrastructure,0,1,partnerships.json,json,Partner: AWS (Amazon Web Services)
partnership:technology_partners:partner-qualcomm,"Qualcomm — Wireless & IoT partner of Chikku Robotics.
Qualcomm 5G modules enable ultra-reliable low-latency communication for our autonomous vehicles and remote teleoperation.
Collaboration: 5G-enabled robot connectivity. On-device AI acceleration using Snapdragon platforms.",customer,technology_partners,Technology Partners,275,Chikku Robotics,partnership,Qualcomm,partner | partnership | Qualcomm | Wireless & IoT,0,1,partnerships.json,json,Partner: Qualcomm
product:hardware:hardware-robotic-systems,"Hardware & Robotic Systems
We design and manufacture a wide variety of robotic systems. This includes service robots, collaborative robots, drones, and autonomous vehicles. We also build the underlying electronic systems, sensors, and embedded devices that power them.
Product lines:
- Service robots
- Collaborative robots (cobots)
- Drones
- Autonomous vehicles
- Electronic systems
- Sensors
- Embedded devices
- Chikku Voice AI Kiosk
- S-Robot
- WatchGuard6S",customer,hardware,Hardware & Robotic Systems,462,Chikku Robotics,product,,hardware | robots | catalog | Service robots | Collaborative robots (cobots) | Drones | Autonomous vehicles | Electronic systems | Sensors | Embedded devices | Chikku Voice AI Kiosk | S-Robot | WatchGuard6S,0,1,products.json,json,Hardware & Robotic Systems
product:software:ai-software-platforms,"AI & Software Platforms
On the software side, we specialize in Artificial Intelligence, Machine Learning, Computer Vision, and Generative AI. We develop robust robotic operating systems, edge AI solutions, and cloud-based platforms to bring our hardware to life.
Platforms:
- Artificial Intelligence
- Machine Learning
- Computer Vision
- Generative AI
- Robotic Operating Systems
- Edge AI Solutions
- Cloud-based Platforms",customer,software,AI & Software Platforms,424,Chikku Robotics,product,,software | ai platform | Artificial Intelligence | Machine Learning | Computer Vision | Generative AI | Robotic Operating Systems | Edge AI Solutions | Cloud-based Platforms,0,1,products.json,json,AI & Software Platforms
product:featured:chikku-voice-ai-kiosk#p0,"Featured Products — Chikku Voice AI Kiosk
Chikku Voice AI Kiosk (Service Robot)
Smart humanoid kiosk robot with natural real-time voice interaction for commercial environments.

Chikku Voice AI Kiosk is a smart humanoid kiosk robot that functions as a professional virtual assistant. It engages customers in natural, real-time voice conversations, providing seamless information retrieval. Powered by a Hybrid RAG architecture combining Vector Search (semantic retrieval) and Knowledge Graph (relational retrieval), it accurately handles both standard Q&A and complex cross-logical queries.

Target Environments:
- Restaurants
- Hotels
- Supermarkets
- Shopping Malls

Core Technologies:
- Hybrid RAG Architecture
- Vector Search (Semantic Retrieval)
- Knowledge Graph (Relational Retrieval)
- Real-time Voice Interaction
- POS System Integration

Key Features:
- Natural real-time voice conversations with customers
- Menu and ingredient Q&A with allergy information
- Dynamic pricing and policy information retrieval
- Dish recommendation based on taste preferences",customer,featured,Featured Products,1067,Chikku Robotics,product,Chikku Voice AI Kiosk,Chikku Voice AI Kiosk | Service Robot | Restaurants | Hotels | Supermarkets | Shopping Malls,0,2,products.json,json,Chikku Voice AI Kiosk
product:featured:chikku-voice-ai-kiosk#p1,"Featured Products — Chikku Voice AI Kiosk
- Dynamic pricing and policy information retrieval
- Dish recommendation based on taste preferences
- Indoor floor plans and spatial positioning
- Turn-by-turn navigation to specific zones or booths
- Location-based product category queries
- Real-time stock level and pricing synchronization via POS integration

Use Cases:
Restaurants Fb:
- Detailed Q&A about menus, ingredients, flavors, and allergy info
- Up-to-date pricing and restaurant policy inquiries
- Dish recommendations based on preferred ingredients or tastes
Supermarkets Malls:
- Floor plans and spatial positioning information
- Turn-by-turn navigation to specific zones or retail booths
- Location queries by product category (nearest booth from user's location)",customer,featured,Featured Products,773,Chikku Robotics,product,Chikku Voice AI Kiosk,Chikku Voice AI Kiosk | Service Robot | Restaurants | Hotels | Supermarkets | Shopping Malls,1,2,products.json,json,Chikku Voice AI Kiosk
product:featured:s-robot#p0,"Featured Products — S-Robot
S-Robot (Solar Panel Cleaning Robot)
Automated solar panel cleaning robot maximizing energy absorption and power output.

S-Robot is a specialized robot designed for cleaning solar panels. It automates the maintenance process to keep solar panel surfaces consistently clean, maximizing solar energy absorption efficiency and power output. Deployable on rooftop solar installations (residential, commercial) and utility-scale solar farms.

Target Environments:
- Rooftop solar installations (residential & commercial)
- Utility-scale solar farms

Core Technologies:
- Autonomous scheduled operation
- Water-optimized / dry-cleaning technology
- Chemical-free cleaning mechanism

Key Features:
- Replaces manual labor for cleaning dust, sand, leaves, and bird droppings
- Eliminates occupational hazards on high rooftops and steep slopes
- Operates automatically on schedule without human supervision
- Cleans significantly faster than manual methods
- Prevents micro-cracks and glass scratching from human foot traffic",customer,featured,Featured Products,1045,Chikku Robotics,product,S-Robot,S-Robot | Solar Panel Cleaning Robot | Rooftop solar installations (residential & commercial) | Utility-scale solar farms,0,2,products.json,json,S-Robot
product:featured:s-robot#p1,"Featured Products — S-Robot
- Cleans significantly faster than manual methods
- Prevents micro-cracks and glass scratching from human foot traffic
- Chemical-free operation protecting anti-reflective coatings and ecosystem
- Optimized water consumption or dry-cleaning capability

Key Benefits:
Time Efficiency:
- Operates automatically on schedule; cleans faster than manual methods enabling immediate peak output restoration.
Cost Savings:
- Reduces specialized cleaning labor and PPE costs; prevents panel damage from manual cleaning; optimizes long-term ROI and system lifespan.
Eco Friendly:
- Optimized water usage or dry-cleaning; 100% chemical-free; protects anti-reflective coatings and surrounding ecosystem.",customer,featured,Featured Products,718,Chikku Robotics,product,S-Robot,S-Robot | Solar Panel Cleaning Robot | Rooftop solar installations (residential & commercial) | Utility-scale solar farms,1,2,products.json,json,S-Robot
